id,overall,difficulty,review_count,interest,mentions_accent,mentions_ta,hotness,scientific_age,rank,gender,race,discipline,uni_type,uni_control
59,4.25,2.75,4,5,FALSE,FALSE,cold,22,Associate Professor,M,white,Social Sciences,r1,public
107,3.444444444,3.777777778,9,4.111111111,FALSE,FALSE,hot,15,Associate Professor,M,non-white,Natural Sciences,other,private
121,3.777777778,3.555555556,9,3.5,FALSE,FALSE,cold,19,Associate Professor,M,non-white,Natural Sciences,r1,public
124,3.5,3.5,4,3.75,FALSE,FALSE,cold,30,Professor,M,UNK,Engineering,r2,private
150,2.75,3.5,4,3,FALSE,FALSE,cold,19,Associate Professor,M,UNK,Natural Sciences,other,public
154,1.6,4.6,10,3.666666667,FALSE,FALSE,cold,29,Associate Professor,M,white,Engineering,r2,public
202,1.5,3.9,10,3.2,FALSE,FALSE,cold,14,Professor,M,white,Natural Sciences,r1,public
204,2.133333333,2.8,15,3.272727273,FALSE,FALSE,cold,40,Professor,M,white,Social Sciences,r1,private
210,2.909090909,4.545454545,11,3.75,FALSE,FALSE,cold,19,Associate Professor,M,white,Natural Sciences,r1,private
252,3.605263158,2.315789474,19,2.846153846,FALSE,FALSE,cold,30,Professor,M,UNK,Natural Sciences,r1,public
267,4.736842105,1.973684211,25,3.291666667,FALSE,TRUE,cold,14,Associate Professor,M,white,Social Sciences,r1,public
296,3.7,3.4,5,4,FALSE,FALSE,cold,45,Professor,M,non-white,Humanities,r2,public
326,3.75,4,4,3.5,FALSE,FALSE,cold,18,Professor,M,UNK,Social Sciences,r2,private
382,4.2,3.8,5,2.6,FALSE,FALSE,cold,22,Professor,M,white,Natural Sciences,r1,public
394,4.318181818,3.090909091,22,3.411764706,FALSE,FALSE,cold,20,Associate Professor,M,non-white,Natural Sciences,r1,public
443,3.555555556,3.666666667,9,2.833333333,FALSE,FALSE,cold,23,Professor,M,non-white,Natural Sciences,r1,public
450,4.538461538,2.615384615,13,4.153846154,FALSE,FALSE,cold,20,Professor,F,UNK,Natural Sciences,r2,private
451,2.090909091,3.818181818,11,3,FALSE,FALSE,cold,21,Associate Professor,M,UNK,Natural Sciences,r1,public
462,3.8125,3.375,8,2.75,FALSE,FALSE,cold,23,Associate Professor,M,white,Humanities,r1,public
483,4.357142857,2.571428571,7,3.5,FALSE,FALSE,hot,10,Associate Professor,M,UNK,Humanities,r1,public
487,2.590909091,2.727272727,11,4,TRUE,FALSE,cold,16,Professor,M,UNK,Social Sciences,r1,private
488,1.681818182,3.818181818,11,3,FALSE,FALSE,cold,12,Associate Professor,M,non-white,Humanities,r1,public
537,3.620689655,2.931034483,25,3.4375,TRUE,FALSE,cold,32,Professor,F,white,Natural Sciences,r2,public
610,4.7,3.1,10,4.5,FALSE,FALSE,hot,17,Professor,M,white,Humanities,r1,public
613,3.928571429,3.714285714,7,3.857142857,FALSE,FALSE,cold,40,Professor,M,white,Humanities,r1,private
627,4.375,1.25,4,3.5,FALSE,FALSE,cold,36,Professor,M,white,Humanities,r1,private
631,4.136363636,2.818181818,11,3.545454545,FALSE,TRUE,hot,16,Associate Professor,F,white,Humanities,r1,public
634,2.666666667,2.333333333,6,3.25,FALSE,FALSE,cold,21,Professor,M,white,Social Sciences,r1,public
643,4.375,2.25,4,2.5,FALSE,FALSE,cold,34,Professor,M,white,Natural Sciences,r1,public
644,4.823529412,1.294117647,17,4.461538462,FALSE,FALSE,hot,29,Professor,F,white,Social Sciences,r3,public
650,1.95,4.3,10,2.428571429,FALSE,FALSE,cold,16,Associate Professor,M,white,Humanities,r2,private
657,2.618055556,3.736111111,25,2.552238806,FALSE,TRUE,cold,29,Professor,M,white,Natural Sciences,r1,public
664,2.604651163,4,25,2.153846154,FALSE,FALSE,cold,32,Assistant Professor,F,white,Natural Sciences,r2,public
680,2.615384615,4.153846154,13,2,FALSE,FALSE,cold,11,Associate Professor,F,white,Humanities,r2,public
684,3.416666667,3.833333333,6,3.2,FALSE,FALSE,cold,16,Associate Professor,F,UNK,Social Sciences,r3,private
688,2.625,3,8,3,FALSE,FALSE,cold,32,Professor,F,UNK,Humanities,r1,private
698,4.210526316,2.894736842,19,3.214285714,FALSE,FALSE,cold,29,Professor,M,white,Natural Sciences,r1,public
700,3.833333333,1.666666667,6,3.833333333,FALSE,FALSE,hot,14,Associate Professor,F,UNK,Natural Sciences,r2,private
732,4.875,4,4,4.333333333,FALSE,FALSE,cold,25,Professor,M,white,Natural Sciences,r1,public
744,3.583333333,4,6,3.4,FALSE,FALSE,hot,32,Professor,M,non-white,Engineering,r2,public
750,4.2,2.8,5,4.2,FALSE,FALSE,cold,23,Professor,F,UNK,Engineering,r1,public
779,2.875,2.25,4,4,FALSE,FALSE,cold,31,Professor,M,UNK,Social Sciences,r1,private
801,4.75,5,4,4.25,FALSE,FALSE,cold,29,Associate Professor,M,white,Natural Sciences,r1,public
803,3.125,3,4,2.666666667,FALSE,FALSE,cold,9,Associate Professor,M,non-white,Humanities,r1,public
824,2.75,3.333333333,6,2.666666667,FALSE,FALSE,cold,36,Professor,M,white,Natural Sciences,r1,public
831,4.2,2.4,10,4,FALSE,FALSE,cold,22,Associate Professor,M,white,Humanities,r1,private
837,2.9375,4.25,8,3.333333333,FALSE,FALSE,cold,33,Professor,M,non-white,Social Sciences,r2,public
840,3.272727273,2.545454545,11,3.777777778,FALSE,FALSE,cold,12,Associate Professor,M,non-white,Social Sciences,r1,public
842,4.441176471,2.470588235,17,3.875,FALSE,FALSE,cold,39,Professor,M,non-white,Social Sciences,r1,public
849,2.722222222,4.444444444,9,2.857142857,TRUE,FALSE,cold,35,Associate Professor,M,UNK,Social Sciences,r1,public
850,4.71875,3.0625,16,3.7,FALSE,FALSE,hot,20,Professor,M,white,Natural Sciences,r1,public
851,2.642857143,3.285714286,7,2.5,FALSE,FALSE,cold,15,Associate Professor,M,UNK,Social Sciences,r1,public
877,2.363636364,4.090909091,11,2.454545455,FALSE,TRUE,cold,52,Professor,M,UNK,Natural Sciences,r1,public
899,3.75,2.772727273,22,3.230769231,FALSE,FALSE,cold,29,Associate Professor,M,white,Natural Sciences,r2,public
910,4.3,3.2,10,3.4,FALSE,FALSE,cold,28,Professor,M,white,Natural Sciences,other,public
931,3.722222222,2.888888889,9,3.428571429,FALSE,FALSE,cold,18,Professor,M,white,Engineering,r1,public
934,1.823529412,4.529411765,17,2.6,FALSE,FALSE,cold,19,Professor,M,white,Natural Sciences,r1,public
956,3.5,4,9,3.142857143,FALSE,FALSE,cold,27,Professor,M,non-white,Social Sciences,r2,public
957,3.8,3.6,5,4.25,FALSE,FALSE,cold,27,Professor,F,UNK,Natural Sciences,r1,public
966,3.833333333,2.833333333,6,2.5,FALSE,FALSE,cold,14,Associate Professor,M,white,Social Sciences,r1,public
977,2.363636364,2.545454545,11,3.444444444,FALSE,FALSE,cold,17,Associate Professor,M,non-white,Natural Sciences,r3,private
1004,2.21875,3.6875,16,2.666666667,FALSE,FALSE,cold,29,Associate Professor,M,white,Social Sciences,r2,private
1006,2.75,3.25,4,2.5,FALSE,FALSE,cold,32,Associate Professor,M,white,Social Sciences,r1,public
1023,4.8,2.1,10,4.5,FALSE,FALSE,hot,23,Professor,F,non-white,Social Sciences,r1,public
1040,1.428571429,4.285714286,7,2.2,FALSE,FALSE,cold,38,Professor,M,UNK,Natural Sciences,r1,public
1050,3.25,2.25,4,2.25,FALSE,FALSE,cold,40,Professor,M,white,Medical sciences,other,public
1052,4.875,3.25,4,3.333333333,FALSE,FALSE,cold,17,Associate Professor,M,UNK,Engineering,r1,public
1063,4.611111111,3,9,4,FALSE,FALSE,cold,45,Professor,M,UNK,Humanities,r1,private
1068,2.45,3.3,10,3,FALSE,FALSE,cold,25,Associate Professor,M,non-white,Humanities,r2,public
1071,3.3,3.133333333,15,4.333333333,FALSE,FALSE,cold,41,Professor,M,UNK,Engineering,other,public
1082,4.357142857,2.142857143,7,3.6,FALSE,FALSE,cold,15,Associate Professor,F,non-white,Social Sciences,r1,public
1085,2.625,2.75,8,2.2,TRUE,FALSE,cold,16,Associate Professor,M,UNK,Natural Sciences,r1,public
1093,3.428571429,3.142857143,7,3.8,TRUE,FALSE,cold,8,Associate Professor,M,non-white,Social Sciences,r1,public
1097,4.285714286,2.571428571,7,4,FALSE,FALSE,cold,36,Professor,M,non-white,Social Sciences,r1,private
1106,2.785714286,3.428571429,7,4.166666667,FALSE,FALSE,cold,29,Professor,M,non-white,Natural Sciences,r1,public
1118,2.642857143,2.714285714,7,2.285714286,FALSE,FALSE,cold,17,Associate Professor,M,non-white,Social Sciences,r1,public
1124,3.666666667,3.555555556,9,2,FALSE,FALSE,cold,12,Associate Professor,F,non-white,Humanities,r2,private
1152,4.454545455,1.727272727,11,3.8,FALSE,FALSE,hot,30,Professor,F,white,Social Sciences,r1,public
1159,2.789473684,3.280701754,25,2.666666667,TRUE,FALSE,cold,35,Professor,M,white,Natural Sciences,r2,public
1167,3.966666667,2.266666667,15,3.142857143,FALSE,FALSE,cold,34,Associate Professor,M,UNK,Humanities,r1,public
1171,4.903225806,2.580645161,25,4.2,FALSE,FALSE,hot,17,Professor,M,non-white,Humanities,r1,public
1182,3.416666667,4,6,3.166666667,FALSE,FALSE,cold,12,Associate Professor,F,white,Humanities,other,public
1202,4.875,3.5,4,4.25,FALSE,FALSE,cold,32,Professor,M,non-white,Natural Sciences,r1,private
1210,4.5,1.705882353,17,3.545454545,FALSE,TRUE,cold,17,Associate Professor,M,non-white,Humanities,r1,public
1234,3.714285714,2.714285714,7,4,FALSE,FALSE,cold,27,Professor,M,white,Natural Sciences,r1,public
1245,4.5,2.777777778,9,4,FALSE,FALSE,cold,19,Assistant Professor,F,UNK,Natural Sciences,r1,public
1267,2.777777778,2.888888889,9,2.714285714,FALSE,FALSE,cold,44,Professor,M,white,Natural Sciences,r1,private
1282,4.6,2,5,4,FALSE,FALSE,cold,40,Professor,M,white,Natural Sciences,r1,private
1284,2.25,4.833333333,6,2.166666667,FALSE,FALSE,cold,23,Associate Professor,M,white,Engineering,other,public
1298,4.428571429,2.714285714,7,3.571428571,FALSE,FALSE,hot,17,Professor,F,white,Social Sciences,r1,public
1301,3.4,2.6,5,4,TRUE,FALSE,hot,21,Professor,F,non-white,Natural Sciences,r1,public
1303,2.529411765,4.117647059,17,3.666666667,FALSE,FALSE,cold,17,Associate Professor,M,UNK,Natural Sciences,r2,private
1310,3.9,5,5,3,FALSE,FALSE,cold,27,Professor,M,non-white,Natural Sciences,r1,private
1311,2.6,4.6,5,4,FALSE,FALSE,cold,15,Professor,M,non-white,Social Sciences,r1,public
1315,1.928571429,3.214285714,25,3.35,TRUE,TRUE,cold,25,Professor,M,non-white,Natural Sciences,r1,public
1345,4.166666667,4.111111111,9,3.625,FALSE,FALSE,cold,30,Associate Professor,F,white,Natural Sciences,r2,public
1350,2.7,3,5,3.4,FALSE,FALSE,cold,24,Associate Professor,M,white,Social Sciences,r3,private
1393,2.785714286,3.285714286,7,3.833333333,FALSE,FALSE,cold,24,Professor,M,non-white,Engineering,r1,public
1407,4,2.409090909,22,3.421052632,FALSE,TRUE,cold,35,Professor,M,non-white,Humanities,r1,private
1419,2.777777778,3.222222222,9,2.555555556,FALSE,FALSE,cold,30,Professor,M,non-white,Social Sciences,r2,public
1422,4.75,1.666666667,6,4.5,FALSE,FALSE,cold,41,Professor,M,non-white,Engineering,r1,public
1442,4.574626866,3.507462687,25,3,FALSE,TRUE,hot,45,Professor,F,non-white,Natural Sciences,r2,public
1446,2.261904762,3.714285714,25,2.974358974,FALSE,FALSE,cold,19,Professor,F,non-white,Medical sciences,r1,public
1456,4.333333333,1.833333333,6,3.166666667,FALSE,FALSE,cold,35,Professor,F,non-white,Natural Sciences,r1,public
1475,4.875,2,8,4.285714286,FALSE,FALSE,cold,13,Associate Professor,M,non-white,Natural Sciences,r2,private
1492,4.078947368,3.263157895,19,3.25,FALSE,FALSE,cold,24,Professor,M,UNK,Social Sciences,r1,public
1501,2.45,3.5,10,4,TRUE,FALSE,cold,16,Professor,F,non-white,Humanities,r2,public
1506,3.889925373,3.541044776,25,3.352459016,TRUE,TRUE,cold,30,Professor,M,non-white,Engineering,r1,public
1517,2.9,2.2,5,3.5,FALSE,TRUE,cold,57,Professor,M,non-white,Natural Sciences,r1,public
1518,3.178571429,4.357142857,14,3.4,FALSE,FALSE,cold,35,Professor,M,white,Natural Sciences,r1,public
1555,3.333333333,3.5,6,4,FALSE,FALSE,cold,34,Professor,M,white,Natural Sciences,r1,public
1558,3.819444444,3.861111111,25,2.846153846,FALSE,FALSE,hot,24,Professor,M,non-white,Natural Sciences,r1,public
1559,2.333333333,3.666666667,12,3.625,TRUE,FALSE,cold,16,Associate Professor,M,non-white,Natural Sciences,r1,public
1579,4.125,3.25,4,3,FALSE,FALSE,cold,45,Professor,F,non-white,Humanities,r1,public
1584,3,2.727272727,11,3.272727273,FALSE,FALSE,cold,17,Associate Professor,M,white,Social Sciences,r1,public
1598,4.055555556,2.444444444,18,3.25,FALSE,FALSE,cold,20,Professor,M,white,Natural Sciences,r1,public
1624,2,4.4,5,2.666666667,FALSE,FALSE,cold,13,Associate Professor,M,white,Natural Sciences,r1,public
1627,4.6875,2.25,8,3.625,FALSE,FALSE,hot,28,Professor,F,white,Social Sciences,r1,public
1640,1.86440678,3.728813559,25,2.340425532,FALSE,TRUE,cold,50,Professor,M,white,Natural Sciences,r1,public
1644,3.5,3.2,10,2,FALSE,FALSE,cold,36,Professor,M,UNK,Natural Sciences,other,public
1647,3.666666667,2.666666667,6,2.6,TRUE,FALSE,cold,16,Professor,F,white,Natural Sciences,r2,public
1649,3.55,2.1,10,3.857142857,FALSE,FALSE,cold,36,Associate Professor,M,white,Natural Sciences,r1,public
1699,4.416666667,4.055555556,18,3.6,TRUE,FALSE,cold,21,Professor,M,UNK,Natural Sciences,r1,public
1703,3.433333333,2.733333333,15,3.333333333,FALSE,FALSE,cold,16,Associate Professor,F,white,Medical sciences,r1,public
1717,2.875,3.416666667,12,3.5,TRUE,FALSE,cold,16,Associate Professor,M,non-white,Natural Sciences,r1,public
1719,4.8,3,5,4,TRUE,FALSE,cold,37,Professor,M,non-white,Natural Sciences,r1,private
1750,4.333333333,2.75,12,3.285714286,FALSE,FALSE,cold,20,Associate Professor,F,white,Social Sciences,r1,public
1751,3.7,4,5,2.8,FALSE,FALSE,hot,22,Professor,F,white,Humanities,r1,public
1764,2.53125,3.25,16,3.375,FALSE,FALSE,cold,35,Professor,M,non-white,Engineering,r1,public
1791,3.5,2.25,8,3.714285714,FALSE,FALSE,cold,37,Associate Professor,F,white,Social Sciences,r1,public
1804,4,1.875,8,2.833333333,TRUE,FALSE,cold,14,Associate Professor,F,UNK,Social Sciences,r2,public
1817,4.2,1.6,5,3.666666667,FALSE,FALSE,hot,9,Associate Professor,M,UNK,Social Sciences,r1,public
1823,4.5,3.75,8,4,FALSE,FALSE,hot,14,Professor,M,non-white,Humanities,r1,public
1834,2.75,3.25,8,3.666666667,TRUE,FALSE,cold,21,Associate Professor,F,white,Medical sciences,r1,public
1844,4.4,2.6,5,3,FALSE,FALSE,hot,11,Associate Professor,F,non-white,Humanities,other,public
1848,3.125,3.5,4,4,FALSE,FALSE,cold,40,Professor,M,UNK,Humanities,r1,public
1863,5,3,7,4,FALSE,FALSE,cold,10,Associate Professor,M,UNK,Natural Sciences,r1,public
1912,2.25,4.5,6,2,FALSE,FALSE,cold,14,Associate Professor,M,UNK,Humanities,r1,public
1930,4.5,3.2,10,3.6,FALSE,FALSE,hot,10,Associate Professor,M,white,Social Sciences,r1,public
1940,4.375,2.75,8,2.714285714,FALSE,FALSE,cold,22,Professor,M,white,Natural Sciences,r1,public
1944,3.852941176,3.411764706,17,2.875,FALSE,TRUE,cold,20,Professor,M,white,Natural Sciences,r1,public
1955,3,4.388888889,25,2.916666667,FALSE,TRUE,cold,49,Professor,M,white,Natural Sciences,other,public
2017,3.571428571,2.857142857,7,3.4,FALSE,FALSE,cold,19,Professor,M,white,Social Sciences,r1,public
2031,4.416666667,2.277777778,18,3.923076923,FALSE,FALSE,hot,13,Associate Professor,M,non-white,Social Sciences,r1,public
2042,2.461538462,4.076923077,13,2.909090909,FALSE,FALSE,cold,33,Professor,M,non-white,Social Sciences,r2,public
2073,4.25,1.833333333,6,3.2,FALSE,FALSE,cold,17,Assistant Professor,M,white,Social Sciences,r1,public
2101,4,2.333333333,12,3.333333333,TRUE,FALSE,cold,33,Associate Professor,M,non-white,Humanities,r1,public
2102,4.818181818,1.272727273,11,4.333333333,FALSE,TRUE,cold,9,Associate Professor,M,non-white,Humanities,r1,public
2111,2.928571429,4.142857143,7,3.714285714,FALSE,FALSE,cold,13,Associate Professor,M,UNK,Engineering,r1,public
2119,3.083333333,3.833333333,6,4,FALSE,FALSE,cold,18,Associate Professor,M,UNK,Natural Sciences,r1,public
2140,3.25,3.526315789,25,2.961538462,FALSE,TRUE,cold,38,Professor,M,white,Humanities,r2,public
2158,2.605263158,3.394736842,25,3.517241379,FALSE,TRUE,cold,29,Associate Professor,M,non-white,Natural Sciences,r1,public
2174,3.181818182,3,22,2.666666667,TRUE,FALSE,cold,39,Professor,M,white,Natural Sciences,r1,public
2195,4.5,3.5,8,4.25,FALSE,FALSE,cold,21,Professor,M,white,Natural Sciences,r1,public
2201,4.4,2.8,5,3.5,FALSE,FALSE,cold,18,Professor,M,white,Medical sciences,r2,private
2237,4,2.571428571,7,3.5,FALSE,FALSE,cold,15,Associate Professor,M,non-white,Natural Sciences,r1,public
2256,3.0625,2.75,8,3.375,FALSE,FALSE,cold,25,Associate Professor,F,white,Humanities,r2,public
2261,3.875,3.125,8,4.6,FALSE,FALSE,cold,38,Professor,M,white,Humanities,r1,public
2265,4.041666667,3,12,3.142857143,FALSE,FALSE,cold,19,Associate Professor,F,white,Social Sciences,r1,public
2266,3.928571429,2.428571429,7,4.428571429,FALSE,FALSE,cold,32,Professor,F,white,Humanities,r1,public
2267,4.75,2.75,4,4,FALSE,FALSE,cold,14,Associate Professor,F,white,Humanities,r1,public
2279,3.625,2,4,3,FALSE,FALSE,cold,22,Professor,F,non-white,Social Sciences,r2,public
2282,1.375,4,4,2.333333333,FALSE,FALSE,cold,48,Professor,M,non-white,Natural Sciences,r2,public
2301,2.291666667,2.833333333,12,3.083333333,FALSE,FALSE,cold,48,Professor,M,white,Natural Sciences,other,public
2307,3.714285714,4.214285714,14,2.857142857,FALSE,FALSE,cold,23,Professor,M,white,Social Sciences,r1,public
2316,2.391891892,4.108108108,25,3.047619048,TRUE,FALSE,cold,20,Associate Professor,M,UNK,Natural Sciences,r1,public
2319,3.166666667,3,9,3.5,FALSE,FALSE,cold,33,Associate Professor,M,UNK,Humanities,r1,public
2345,3.3,3.2,5,3.5,FALSE,FALSE,cold,30,Professor,F,white,Social Sciences,r1,private
2349,4.1875,4.0625,16,3.666666667,FALSE,FALSE,cold,30,Professor,M,UNK,Humanities,r1,private
2352,4.638888889,3,18,4.058823529,FALSE,FALSE,cold,27,Professor,M,white,Humanities,r1,public
2355,3.346153846,3.307692308,13,3.333333333,FALSE,FALSE,cold,14,Associate Professor,M,white,Medical sciences,r2,public
2365,1.714285714,4,7,2,FALSE,FALSE,cold,24,Professor,M,white,Natural Sciences,r1,public
2383,4.75,2.25,4,4.5,FALSE,FALSE,cold,25,Associate Professor,M,UNK,Engineering,r1,public
2395,4.625,3.25,4,4.5,FALSE,FALSE,hot,11,Associate Professor,M,UNK,Natural Sciences,r2,private
2402,2.95,3.7,10,3.666666667,FALSE,TRUE,hot,15,Professor,M,UNK,Engineering,r1,private
2406,3.666666667,3.333333333,6,4.333333333,FALSE,FALSE,hot,12,Associate Professor,F,non-white,Engineering,r1,public
2444,1.958333333,3.75,12,2.916666667,FALSE,FALSE,cold,27,Professor,M,UNK,Natural Sciences,r2,public
2467,4.714285714,2.142857143,14,4.25,FALSE,FALSE,cold,11,Associate Professor,F,UNK,Humanities,other,public
2468,2.6,3.2,5,3.8,FALSE,FALSE,cold,10,Associate Professor,F,white,Social Sciences,r1,public
2476,2.125,4,4,3.5,FALSE,FALSE,cold,48,Professor,M,white,Humanities,r1,public
2493,3.583333333,2.75,12,4,FALSE,FALSE,hot,15,Associate Professor,M,non-white,Humanities,r1,public
2520,4.65,2.9,10,2,FALSE,FALSE,hot,13,Associate Professor,M,non-white,Social Sciences,r1,public
2536,4.0625,2.125,8,3.666666667,TRUE,FALSE,cold,22,Associate Professor,F,UNK,Social Sciences,r1,public
2537,1.5,5,6,2.833333333,FALSE,FALSE,cold,40,Professor,M,non-white,Natural Sciences,r2,public
2551,3.5,3.8,5,3.5,FALSE,FALSE,hot,14,Professor,M,UNK,Engineering,r2,private
2558,4.342105263,3.578947368,19,3.75,FALSE,FALSE,cold,24,Professor,M,non-white,Natural Sciences,r1,private
2581,4.083333333,2.833333333,6,2.75,FALSE,FALSE,cold,38,Professor,M,non-white,Natural Sciences,r1,public
2597,4.865384615,2.5,25,4.315789474,FALSE,FALSE,cold,26,Professor,M,white,Engineering,r1,public
2598,2.964285714,2.714285714,14,3.125,FALSE,FALSE,cold,29,Associate Professor,M,white,Humanities,r2,private
2606,2.714285714,3.428571429,7,2.75,FALSE,FALSE,cold,33,Professor,F,non-white,Natural Sciences,r1,public
2637,4.4,2.4,10,4,FALSE,FALSE,cold,20,Associate Professor,M,white,Social Sciences,r1,public
2671,3.25,3.25,4,2.75,FALSE,FALSE,cold,17,Professor,M,UNK,Engineering,r1,public
2673,3.055555556,3,9,2.571428571,FALSE,FALSE,cold,40,Professor,M,white,Natural Sciences,r1,public
2674,3.357142857,3.214285714,14,3.272727273,FALSE,FALSE,cold,28,Associate Professor,M,white,Natural Sciences,r1,public
2678,4.35,2.3,10,3.7,FALSE,FALSE,cold,44,Professor,M,white,Natural Sciences,other,public
2687,3.6875,2.5,8,2.625,FALSE,FALSE,cold,36,Professor,M,white,Social Sciences,r1,public
2691,2.833333333,3.333333333,6,2,FALSE,FALSE,cold,20,Associate Professor,M,UNK,Natural Sciences,r1,private
2706,4.5,3.666666667,12,3.222222222,FALSE,FALSE,cold,28,Professor,M,white,Natural Sciences,r2,public
