Vaccine,COVID_Risk,Trust_in_Scientists,Misinformation
Yes,5.166666667,5,1.833333333
Yes,5.333333333,3,3.666666667
Yes,5.166666667,5,1.666666667
Yes,5.333333333,5,1.666666667
Yes,5,3,1
Yes,5.333333333,3,1.666666667
Yes,4.666666667,4,3.166666667
Yes,4,5,1.166666667
Yes,5.166666667,4,3.5
No,4.833333333,3,1
Yes,3.333333333,5,2.333333333
Yes,4.5,5,1
Yes,6,4,1
No,2.333333333,3,3.166666667
No,3.333333333,4,1.333333333
Yes,4.666666667,5,1.5
Yes,4.833333333,4,1.5
Yes,4.166666667,5,1.333333333
Yes,2.166666667,4,1.166666667
No,4.5,2,2
No,3.666666667,3,3.166666667
Yes,4.666666667,4,1
Yes,4.333333333,3,1.333333333
Yes,4.333333333,4,2
No,2.666666667,3,2.833333333
Yes,4.333333333,4,2
Yes,4,4,1.666666667
No,3.166666667,3,1.166666667
Yes,4.666666667,3,1.333333333
No,3.5,3,4
Yes,5.666666667,4,3
No,3.666666667,3,3
No,3.666666667,2,3.833333333
Yes,4.5,2,5.833333333
Yes,1.833333333,3,1.666666667
Yes,4.833333333,5,3.666666667
Yes,4.5,3,4.333333333
No,4.333333333,4,4.166666667
Yes,4.666666667,4,1
Yes,1.333333333,4,2.833333333
Yes,4.833333333,4,5.5
Yes,4,4,2
Yes,5.5,4,3.166666667
Yes,2.666666667,2,1.666666667
No,3.333333333,5,1
Yes,4,4,1.166666667
Yes,5.666666667,5,1.5
Yes,3.333333333,3,2.166666667
Yes,4.166666667,4,1
Yes,4,4,2.333333333
Yes,5.333333333,5,1.333333333
Yes,5.833333333,3,2
No,2.833333333,4,2.833333333
Yes,4.333333333,4,1.166666667
Yes,3.333333333,3,1.5
Yes,4.333333333,5,1.166666667
No,3.333333333,3,3.833333333
No,3.666666667,3,2.666666667
No,4.166666667,3,2.333333333
No,3.833333333,3,3.166666667
Yes,5,4,1.666666667
Yes,4.833333333,5,2.5
Yes,3.5,3,4
Yes,5.333333333,4,2
No,3.5,4,3.333333333
Yes,5,5,2.166666667
Yes,1.833333333,3,2.166666667
Yes,4,4,1.666666667
Yes,5.166666667,3,2.333333333
Yes,5.5,3,1
Yes,4.666666667,4,1
Yes,5,4,1.5
Yes,4.333333333,5,1
Yes,5.666666667,5,1
Yes,3.333333333,3,3.666666667
Yes,5.333333333,5,1
No,3.166666667,5,1.833333333
Yes,5.333333333,5,1.5
No,1.5,2,3.5
Yes,5,4,1.166666667
No,3.5,3,2.833333333
No,4.166666667,4,2.333333333
Yes,4,5,1
Yes,2.333333333,4,1
Yes,6,5,1.5
Yes,4.333333333,3,3.5
Yes,4,4,2.333333333
Yes,5.5,4,1.833333333
Yes,4.5,5,1
No,2.5,3,4
Yes,4.666666667,3,1.5
Yes,2.666666667,4,2
No,3.166666667,3,2.5
Yes,4.833333333,4,1.833333333
Yes,4,4,3.333333333
No,5.333333333,5,1.333333333
Yes,4.833333333,4,2
Yes,4.5,4,1
Yes,4.833333333,5,1.166666667
Yes,5,4,2.166666667
Yes,5.166666667,3,4
Yes,4.166666667,5,2.833333333
No,3,3,1
No,3.333333333,2,3.833333333
Yes,4.333333333,3,3.5
Yes,4.166666667,5,1.333333333
No,4.833333333,3,1.333333333
Yes,5,4,1.166666667
Yes,5,5,2.166666667
Yes,3.833333333,2,1.5
Yes,4.666666667,3,2.5
